product_id,name,community,category,price,rating,tags
P001,Embroidered Abaya,Muslim,Ethnic,1299,4.7,abaya modest black
P002,Chiffon Hijab,Muslim,Accessories,399,4.5,hijab chiffon women
P003,Tasbeeh Beads,Muslim,Religious,299,4.8,prayer beads tasbeeh
P004,Halal Oud Perfume,Muslim,Beauty,899,4.6,perfume oud halal
P005,Modest Maxi Dress,Muslim,Ethnic,1499,4.4,modest dress women
P006,Silk Saree,Hindu,Ethnic,2499,4.8,saree silk festive
P007,Designer Kurta,Hindu,Ethnic,1599,4.6,kurta ethnic men
P008,Puja Thali Set,Hindu,Religious,799,4.7,puja festival thali
P009,Lehenga Choli,Hindu,Ethnic,2999,4.9,lehenga wedding festive
P010,Diwali Lights,Hindu,Decor,499,4.5,lights festival decor
P011,Turban Cloth,Sikh,Accessories,899,4.5,turban traditional
P012,Kara Bracelet,Sikh,Accessories,699,4.6,kara steel religious
P013,Pathani Suit,Sikh,Ethnic,1799,4.7,pathani traditional wear
P014,Gurpurab Decor,Sikh,Decor,599,4.4,festival decor sikh
P015,Khanda Pendant,Sikh,Accessories,499,4.5,khanda jewelry
P016,Buddha Statue,Buddhist,Decor,1299,4.6,buddha decor statue
P017,Meditation Robe,Buddhist,Clothing,999,4.5,robe meditation
P018,Prayer Wheel,Buddhist,Religious,899,4.7,prayer wheel tibetan
P019,Incense Sticks,Buddhist,Religious,299,4.4,incense meditation
P020,Mala Beads,Buddhist,Accessories,399,4.6,mala beads prayer
P021,Western Dress,General,Clothing,1499,4.3,casual dress women
P022,T-Shirt Casual,General,Clothing,699,4.2,tshirt casual men
P023,Jeans Denim,General,Clothing,1299,4.4,jeans denim
P024,Sneakers,General,Footwear,1999,4.6,shoes sneakers
P025,Backpack,General,Accessories,999,4.5,bag travel
P026,Abaya Premium,Muslim,Ethnic,1999,4.8,abaya luxury
P027,Hijab Cotton,Muslim,Accessories,299,4.3,hijab cotton
P028,Prayer Mat,Muslim,Religious,799,4.7,prayer mat islam
P029,Halal Skincare,Muslim,Beauty,1299,4.6,skincare halal
P030,Modest Tunic,Muslim,Clothing,1199,4.4,tunic modest
P031,Kurta Pajama,Hindu,Ethnic,1399,4.5,kurta pajama
P032,Temple Decor,Hindu,Decor,899,4.6,temple decoration
P033,Ethnic Dupatta,Hindu,Accessories,499,4.3,dupatta ethnic
P034,Bridal Saree,Hindu,Ethnic,3999,4.9,bridal saree
P035,Incense Set,Hindu,Religious,299,4.4,incense puja
P036,Turban Premium,Sikh,Accessories,1299,4.7,turban premium
P037,Kurta Sikh,Sikh,Ethnic,1599,4.6,kurta traditional
P038,Sikh Bracelet,Sikh,Accessories,799,4.5,bracelet kara
P039,Religious Book,Sikh,Religious,599,4.4,book gurbani
P040,Decor Sikh,Sikh,Decor,699,4.3,decor religious
P041,Meditation Cushion,Buddhist,Accessories,999,4.6,cushion meditation
P042,Buddhist Art,Buddhist,Decor,1499,4.7,art spiritual
P043,Incense Premium,Buddhist,Religious,399,4.5,incense premium
P044,Mala Premium,Buddhist,Accessories,699,4.6,mala beads
P045,Zen Garden,Buddhist,Decor,1999,4.8,zen garden
P046,Formal Shirt,General,Clothing,999,4.3,formal shirt
P047,Office Bag,General,Accessories,1499,4.5,office bag
P048,Running Shoes,General,Footwear,2499,4.7,shoes running
P049,Summer Dress,General,Clothing,1299,4.4,dress summer
P050,Cap Casual,General,Accessories,399,4.2,cap casual